id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
4210405,2016-09-17,32.916722,-110.734653,Pinal,Arizona,United States,Nathalis iole,Dainty Sulphur,Pieridae,Nathalis,Nathalis iole
4210407,2016-09-17,32.916547,-110.735081,Pinal,Arizona,United States,Battus philenor,Pipevine Swallowtail,Papilionidae,Battus,Battus philenor
4210408,2016-09-17,32.916108,-110.735845,Pinal,Arizona,United States,Libytheana carinenta,American Snout,Nymphalidae,Libytheana,Libytheana carinenta
4210411,2016-09-17,32.916569,-110.735062,Pinal,Arizona,United States,Asterocampa leilia,Empress Leilia,Nymphalidae,Asterocampa,Asterocampa leilia
4211354,2016-09-17,32.9864,-110.765031,Gila,Arizona,United States,Abaeis nicippe,Sleepy Orange,Pieridae,Abaeis,Abaeis nicippe
4211355,2016-09-17,32.986441,-110.765031,Gila,Arizona,United States,Hylephila phyleus,Fiery Skipper,Hesperiidae,Hylephila,Hylephila phyleus
4211784,2016-08-14,31.4667683333,-110.9910916667,Santa Cruz,Arizona,United States,Staphylus ceos,Golden-headed Scallopwing,Hesperiidae,Staphylus,Staphylus ceos
4211785,2016-08-14,31.4675316667,-110.99183,Santa Cruz,Arizona,United States,Copaeodes aurantiaca,Orange Skipperling,Hesperiidae,Copaeodes,Copaeodes aurantiaca
4211953,2016-08-14,31.562097,-111.048395,Santa Cruz,Arizona,United States,Asterocampa leilia,Empress Leilia,Nymphalidae,Asterocampa,Asterocampa leilia
4211954,2016-08-14,31.562116,-111.045931,Santa Cruz,Arizona,United States,Abaeis nicippe,Sleepy Orange,Pieridae,Abaeis,Abaeis nicippe
4211955,2016-08-14,31.562105,-111.046667,Santa Cruz,Arizona,United States,Pholisora catullus,Common Sootywing,Hesperiidae,Pholisora,Pholisora catullus
4211956,2016-08-14,31.562094,-111.046698,Santa Cruz,Arizona,United States,Staphylus ceos,Golden-headed Scallopwing,Hesperiidae,Staphylus,Staphylus ceos
4211957,2016-08-14,31.562008,-111.04665,Santa Cruz,Arizona,United States,Libytheana carinenta,American Snout,Nymphalidae,Libytheana,Libytheana carinenta
4211958,2016-08-14,31.561625,-111.045962,Santa Cruz,Arizona,United States,Junonia coenia,Common Buckeye,Nymphalidae,Junonia,Junonia coenia
4211960,2016-08-14,31.562058,-111.046573,Santa Cruz,Arizona,United States,Dymasia dymas,Tiny Checkerspot,Nymphalidae,Dymasia,Dymasia dymas
4211961,2016-08-14,31.56213,-111.045934,Santa Cruz,Arizona,United States,Abaeis nicippe,Sleepy Orange,Pieridae,Abaeis,Abaeis nicippe
4211963,2016-08-14,31.562105,-111.046562,Santa Cruz,Arizona,United States,Battus philenor,Pipevine Swallowtail,Papilionidae,Battus,Battus philenor
4211964,2016-08-14,31.562125,-111.046695,Santa Cruz,Arizona,United States,Dymasia dymas,Tiny Checkerspot,Nymphalidae,Dymasia,Dymasia dymas
4211965,2016-08-14,31.562125,-111.046695,Santa Cruz,Arizona,United States,Pholisora catullus,Common Sootywing,Hesperiidae,Pholisora,Pholisora catullus
4211966,2016-08-14,31.562105,-111.046562,Santa Cruz,Arizona,United States,Abaeis nicippe,Sleepy Orange,Pieridae,Abaeis,Abaeis nicippe
4211967,2016-08-14,31.562105,-111.046667,Santa Cruz,Arizona,United States,Staphylus ceos,Golden-headed Scallopwing,Hesperiidae,Staphylus,Staphylus ceos
4211968,2016-08-14,31.562094,-111.046698,Santa Cruz,Arizona,United States,Dymasia dymas,Tiny Checkerspot,Nymphalidae,Dymasia,Dymasia dymas
4211969,2016-08-14,31.56208,-111.046837,Santa Cruz,Arizona,United States,Battus philenor,Pipevine Swallowtail,Papilionidae,Battus,Battus philenor
4212110,2016-09-03,33.461816,-111.945717,Maricopa,Arizona,United States,Danaus gilippus,Queen,Nymphalidae,Danaus,Danaus gilippus
4212111,2016-09-03,33.462338,-111.944198,Maricopa,Arizona,United States,Hemiargus ceraunus,Ceraunus Blue,Lycaenidae,Hemiargus,Hemiargus ceraunus
4212200,2016-09-04,33.2201566667,-111.582695,Pinal,Arizona,United States,Colias eurytheme,Orange Sulphur,Pieridae,Colias,Colias eurytheme
4212202,2016-09-04,33.2204566667,-111.582815,Maricopa,Arizona,United States,Hylephila phyleus,Fiery Skipper,Hesperiidae,Hylephila,Hylephila phyleus
4212204,2016-09-04,33.2201566667,-111.582695,Pinal,Arizona,United States,Colias eurytheme,Orange Sulphur,Pieridae,Colias,Colias eurytheme
4212217,2016-08-13,32.5378016667,-110.71848,Pinal,Arizona,United States,Phoebis sennae,Cloudless Sulphur,Pieridae,Phoebis,Phoebis sennae
4212224,2016-08-14,31.506755,-110.8038933333,Santa Cruz,Arizona,United States,Texola perse,Arizona Checkerspot,Nymphalidae,Texola,Texola perse
