id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
29278231,2019-07-21,45.7618659642,-110.8409153392,Gallatin,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii
29278577,2019-07-21,45.7625542023,-110.8408384771,Gallatin,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii
29278643,2019-07-21,45.762542761,-110.8410160058,Gallatin,Montana,United States,Icaricia icarioides,Boisduval's Blue,Lycaenidae,Icaricia,Icaricia icarioides
29293868,2019-07-21,45.15725568,-109.52858865,Carbon,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
29301605,2019-07-12,45.0211843752,-109.9356766852,Park,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
29322672,2019-07-21,47.0033772106,-114.5568247799,Mineral,Montana,United States,Speyeria cybele,Great Spangled Fritillary,Nymphalidae,Speyeria,Speyeria cybele
29322709,2019-07-21,46.9847591876,-114.4871097694,Missoula,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29344020,2019-07-22,45.5865702779,-111.0823275616,Gallatin,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29378898,2019-07-23,45.9942541877,-109.9072836434,Sweet Grass,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola
29391120,2019-07-21,48.808145,-113.69303,Glacier,Montana,United States,Euphydryas editha,Edith's Checkerspot,Nymphalidae,Euphydryas,Euphydryas editha
29476695,2019-07-22,48.696576273,-113.6997881072,Glacier,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29478639,2019-07-24,45.82907805,-108.45064181,Yellowstone,Montana,United States,Limenitis weidemeyerii,Weidemeyer's Admiral,Nymphalidae,Limenitis,Limenitis weidemeyerii
29505177,2019-07-23,48.4479632,-114.1413442,Flathead,Montana,United States,Papilio eurymedon,Pale Swallowtail,Papilionidae,Papilio,Papilio eurymedon
29540850,2019-07-25,46.2602684253,-108.951959593,Golden Valley,Montana,United States,Colias philodice,Clouded Sulphur,Pieridae,Colias,Colias philodice
29579678,2019-07-26,48.2700883333,-114.1295166667,Flathead,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29641804,2019-07-26,45.535106,-110.1492346,Sweet Grass,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29746497,2019-07-28,45.6600216667,-111.0443721667,Gallatin,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29812850,2019-07-23,46.9864487047,-112.3901031176,Lewis and Clark,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29885590,2019-07-30,46.09058747,-112.51390745,Silver Bow,Montana,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus
29916662,2019-07-25,46.6787180165,-114.0343013902,Missoula,Montana,United States,Pholisora catullus,Common Sootywing,Hesperiidae,Pholisora,Pholisora catullus
29935890,2019-07-31,46.7081271345,-113.9801004344,Missoula,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
30069132,2019-08-02,46.2065883333,-113.2855616667,Granite,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
