id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
3677436,2003-11-29,18.3597391566,98.5638427734,,,Thailand,Eooxylides tharis distanti,Branded Imperial,Lycaenidae,Theclinae,Loxurini,Eooxylides,Eooxylides tharis
3677437,2003-11-29,18.3597391566,98.5638427734,,,Thailand,Lamproptera meges,Green Dragontail Butterfly,Papilionidae,Papilioninae,Leptocircini,Lamproptera,Lamproptera meges
3677438,2003-11-29,18.3597391566,98.5638427734,,,Thailand,Heliophorus epicles,Purple Sapphire,Lycaenidae,Lycaeninae,Heliophorini,Heliophorus,Heliophorus epicles
3677439,2003-11-29,18.3597391566,98.5638427734,,,Thailand,Koruthaialos sindu,Bright Red Velvet Bob,Hesperiidae,Hesperiinae,Aeromachini,Koruthaialos,Koruthaialos sindu
3677440,2003-11-29,18.3597391566,98.5638427734,,,Thailand,Zeltus amasa maximinianus,Fluffy Tit,Lycaenidae,Theclinae,Hypolycaenini,Zeltus,Zeltus amasa
3678239,2004-08-29,40.2235674562,-89.8193612296,Mason,Illinois,United States,Speyeria idalia,Regal Fritillary,Nymphalidae,Heliconiinae,Argynnini,Speyeria,Speyeria idalia
3678240,2004-08-29,40.3766618665,-89.8773541246,Mason,Illinois,United States,Speyeria idalia,Regal Fritillary,Nymphalidae,Heliconiinae,Argynnini,Speyeria,Speyeria idalia
3678243,2004-08-29,40.3970246315,-89.8750278779,Mason,Illinois,United States,Epargyreus clarus,Silver-spotted Skipper,Hesperiidae,Eudaminae,,Epargyreus,Epargyreus clarus
3678244,2004-08-29,40.3970246315,-89.8750278779,Mason,Illinois,United States,Lycaena phlaeas,American Copper,Lycaenidae,Lycaeninae,Lycaenini,Lycaena,Lycaena phlaeas
3678245,2004-08-29,40.3970246315,-89.8750278779,Mason,Illinois,United States,Lycaena phlaeas,American Copper,Lycaenidae,Lycaeninae,Lycaenini,Lycaena,Lycaena phlaeas
3678246,2004-08-29,40.3970246315,-89.8750278779,Mason,Illinois,United States,Lycaena phlaeas,American Copper,Lycaenidae,Lycaeninae,Lycaenini,Lycaena,Lycaena phlaeas
3678247,2004-08-29,40.3970246315,-89.8750278779,Mason,Illinois,United States,Lycaena phlaeas,American Copper,Lycaenidae,Lycaeninae,Lycaenini,Lycaena,Lycaena phlaeas
3777521,2003-11-17,13.1216112396,99.9275207758,,,Thailand,Danaus genutia,Common Tiger Butterfly,Nymphalidae,Danainae,Danaini,Danaus,Danaus genutia
3778438,2003-11-18,12.5379748651,99.4618034363,,,Thailand,Papilio demolion,Banded Swallowtail,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio demolion
